"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LFT_01240",195.010315312971,-5.25045468735513,0.331630458384569,-15.8322450625646,1.86448125579008e-56,7.57290136726736e-54
"LFT_01755",129.29121559956,-5.09230925968639,0.343888527351155,-14.8080231082745,1.30007936285077e-49,3.96036675908414e-47
"LFT_01752",217.721418946278,-5.07402186110195,0.265236554522574,-19.1301755907484,1.41596469050573e-81,1.72535297538123e-78
"LFT_01753",48.6229529002629,-4.94699266662018,0.487055903488889,-10.156929894872,3.08642426097784e-24,2.27927755272818e-22
"LFT_01751",60.8632207734162,-4.70193732825471,0.440556665386143,-10.6727186254997,1.36571013034704e-26,1.44705895115467e-24
"LFT_02301",33.5910974385349,-4.54364717373377,0.55113470369313,-8.24416815578295,1.66313133994363e-16,8.10610215088526e-15
"LFT_02302",463.946266927216,-4.49637603033278,0.226073013859709,-19.8890436039529,5.06314530840993e-88,1.2338885116595e-84
"LFT_02504",84.4124140983421,-3.10759799827307,0.451053857754842,-6.88963844304846,5.59343663592103e-12,1.74759039509481e-10
"LFT_02383",271.588476536206,-3.02114028746938,0.350207500790471,-8.62671496370069,6.3139270621275e-18,3.34500875008798e-16
"LFT_02298",9.60272398805423,-2.33630730512914,0.836739133087454,-2.79215733165065,0.00523578912942051,0.0244437128513367
"LFT_02424",3.18488660122986,-2.28379190505066,1.28429621718868,-1.77824389302483,0.0753638068560816,NA
"LFT_02382",502.798922667429,-2.24363575698794,0.636346857063099,-3.52580629900945,0.000422195642148454,0.00293968794261652
"LFT_01754",5.19370049993875,-2.2038240539715,1.35826629537272,-1.62252723304656,0.104690506912718,NA
"LFT_00915",604.984604658532,-2.14070076429851,0.254377690021664,-8.41544226663979,3.91415337031437e-17,1.98724828405336e-15
"LFT_02384",305.416766065143,-2.14022876778665,0.363453320325577,-5.88859324732392,3.89496761894901e-09,8.32634744506906e-08
"LFT_02502",35.2754908364952,-2.13710056574833,0.552131719890057,-3.87063537333787,0.000108552055812398,0.000941428327454853
"LFT_02300",425.064021428394,-2.10744733938375,0.199681643428669,-10.5540364311784,4.86606514135539e-26,4.94108364561795e-24
"LFT_02160",404.671794932374,-2.03305758352517,0.236758412740715,-8.58705530245158,8.92266919985357e-18,4.62649890213684e-16
"LFT_02505",40.7637367884303,-2.01527012687959,0.474713921465035,-4.24523072898343,2.18368603178026e-05,0.00023238615106762
"LFT_01627",9.24122542026821,-1.94881332624268,0.758469944698008,-2.56940085743097,0.0101874537731753,0.041796001422943
"LFT_00879",2.08919744183683,-1.86697051596383,1.64052157611099,-1.13803472209714,0.25510598386442,NA
"LFT_00456",43.381666661077,-1.80196182363991,0.428255877201087,-4.20767564339532,2.58010844650806e-05,0.000269859411336487
"LFT_00946",7.3040425806903,-1.70950381076481,0.909528456987758,-1.87954955958879,0.0601694931525929,0.162598656460196
"LFT_02381",226.952966404319,-1.69960290594148,0.308746865006538,-5.50484263510009,3.69498170169675e-08,6.92666954387306e-07
"LFT_02463",463.297769833071,-1.65544142866402,0.235683788173589,-7.02399363780054,2.1561463088547e-12,7.10071426307961e-11
"LFT_01603",17.0780154823792,-1.60745338599546,0.663701000295285,-2.4219541409163,0.0154372985284044,0.0583266612615836
"LFT_02470",97.1899373833675,-1.54060636899789,0.310212587397986,-4.96629225113091,6.82450867193025e-07,1.00188720683699e-05
"LFT_00966",14.924781027504,-1.50686158418968,0.710704914107167,-2.12023521194123,0.0339862142964711,0.1039202060734
"LFT_00055",769.219864218775,-1.49542309277089,0.192998713204915,-7.74835784103459,9.30885052812276e-15,3.78094478950586e-13
"LFT_00924",514.162908026048,-1.49131612235392,0.191371599143945,-7.79277661379723,6.55524560792359e-15,2.80265500815961e-13
"LFT_00417",3208.86479542884,-1.42031374488936,0.17492858703353,-8.11939185570118,4.6852546247855e-16,2.11443805937079e-14
"LFT_02137",988.367218244524,-1.40397576902807,0.156377578479358,-8.9781142711159,2.75446923990201e-19,1.52560034946391e-17
"LFT_01453",323.362705592831,-1.37141663620728,0.27259076428925,-5.03104586020401,4.87811434784164e-07,7.47670733691199e-06
"LFT_00849",505.818493470853,-1.37070559583207,0.244798026129712,-5.59933271318849,2.15178464900643e-08,4.16182475367356e-07
"LFT_01624",5.90603855033004,-1.35853246862293,0.947935398692827,-1.43314878893256,0.151815321076177,0.32168148269828
"LFT_01031",1607.9706737557,-1.35690762123312,0.169480187128701,-8.00629055361326,1.18220224899753e-15,5.23823069237634e-14
"LFT_02375",148.100036918177,-1.29893277187747,0.239994577294191,-5.41234217257005,6.22056756898169e-08,1.12292764189692e-06
"LFT_00455",68.2830822774277,-1.28236785189469,0.312367784297817,-4.105314044396,4.03765974808788e-05,0.000399990927076835
"LFT_02473",781.418670470947,-1.2754444151709,0.240929266704634,-5.29385421960597,1.19764919188889e-07,2.05540216946003e-06
"LFT_00056",73.9061346943788,-1.25868810278265,0.325795425723894,-3.86343086305135,0.000111805547530267,0.000959401828631199
"LFT_01275",226.504310013806,-1.25684156581561,0.219469315323035,-5.7267302445705,1.02384774448459e-08,2.04517783058111e-07
"LFT_01710",441.650879886632,-1.25310647631245,0.184645245277317,-6.78656238578156,1.14836859566909e-11,3.49821783455696e-10
"LFT_01041",1253.29164693517,-1.25179077122942,0.168062564035933,-7.44836173606025,9.45064021096735e-14,3.6557476498615e-12
"LFT_00392",36333.4953521191,-1.2346189130762,0.172723165814661,-7.14796366343235,8.80746167918843e-13,3.06625487316889e-11
"LFT_02145",2462.48823331235,-1.21201814532513,0.181055061136747,-6.69419643789865,2.168599483945e-11,6.36732161731802e-10
