S1	E1	S2	E2	Reference	Contig	IDY	Ambiguous	Best_group
1	1571820	1571665	1	ENA_OBMB01000001_OBMB01000001.1	tig00000003	99.99		True
relocation, inconsistency = -2547009
1552587	2547009	2565990	1571666	ENA_OBMB01000001_OBMB01000001.1	tig00000003	99.99		True
CONTIG	tig00000003	2565990	misassembled
